Order_ID,Order_Date,Product_ID,Model_Name,Unit_Price,Cost_Price,Quantity_Sold,Total_Sales,Total_Cost,Profit,Customer_ID,Customer_Age_Group,Customer_Gender,State,City,Customer_Rating,Return_Status,Return_Reason,Sales_Channel
ORD300021,2023-01-02,P001,vector,1000,600,1,1000,600,400,CUST49216,26-35,Female,Delhi,Delhi,4,Returned,Did Not Like,Amazon
ORD300022,2023-01-03,P006,Zenith,5000,3000,1,5000,3000,2000,CUST97414,18-25,Female,Tamil Nadu,Madurai,5,Not Returned,,Own Website
ORD300023,2023-01-03,P002,Kinetic,1500,900,1,1500,900,600,CUST59501,26-35,Male,Delhi,New Delhi,5,Not Returned,,Own Website
ORD300024,2023-01-03,P009,Imperial,9000,5400,1,9000,5400,3600,CUST42457,36-50,Female,Rajasthan,Bikaner,4,Not Returned,,Myntra
ORD300025,2023-01-03,P006,Zenith,5000,3000,1,5000,3000,2000,CUST52971,18-25,Male,Gujarat,Ahmedabad,3,Not Returned,,Flipkart
ORD300026,2023-01-03,P001,vector,1000,600,1,1000,600,400,CUST86332,26-35,Female,West Bengal,Asansol,4,Not Returned,,Amazon
ORD300027,2023-01-03,P003,Greenwich,2000,1200,1,2000,1200,800,CUST57352,26-35,Male,West Bengal,Howrah,4,Not Returned,,Amazon
ORD300028,2023-01-03,P002,Kinetic,1500,900,1,1500,900,600,CUST22843,26-35,Female,Bihar,Muzaffarpur,5,Not Returned,,Flipkart
ORD300029,2023-01-03,P005,Elegance,4000,2400,1,4000,2400,1600,CUST65796,18-25,Female,Tamil Nadu,Coimbatore,3,Not Returned,,Amazon
ORD300030,2023-01-03,P010,The Icon,12000,7200,2,24000,14400,9600,CUST20740,50+,Male,Maharashtra,Nashik,5,Not Returned,,Own Website
ORD300031,2023-01-04,P010,The Icon,12000,7200,2,24000,14400,9600,CUST18151,26-35,Male,Kerala,Kochi,4,Not Returned,,Flipkart
ORD300032,2023-01-04,P010,The Icon,12000,7200,1,12000,7200,4800,CUST27047,50+,Male,Gujarat,Rajkot,4,Not Returned,,Flipkart
ORD300033,2023-01-04,P009,Imperial,9000,5400,1,9000,5400,3600,CUST38152,26-35,Female,Karnataka,Hubli,4,Not Returned,,Myntra
ORD300034,2023-01-04,P009,Imperial,9000,5400,2,18000,10800,7200,CUST20233,26-35,Female,Andhra Pradesh,Nellore,4,Not Returned,,Myntra
ORD300035,2023-01-04,P009,Imperial,9000,5400,1,9000,5400,3600,CUST98712,18-25,Male,Gujarat,Vadodara,4,Not Returned,,Flipkart
ORD300036,2023-01-04,P003,Greenwich,2000,1200,1,2000,1200,800,CUST44562,26-35,Male,Kerala,Thrissur,2,Returned,Color Mismatch,Flipkart
ORD300037,2023-01-04,P007,Eclipse,6000,3600,1,6000,3600,2400,CUST75382,26-35,Male,Maharashtra,Thane,4,Not Returned,,Flipkart
ORD300038,2023-01-04,P007,Eclipse,6000,3600,3,18000,10800,7200,CUST67682,26-35,Male,Andhra Pradesh,Nellore,4,Not Returned,,Amazon
ORD300039,2023-01-04,P001,vector,1000,600,2,2000,1200,800,CUST64646,18-25,Male,Karnataka,Hubli,5,Not Returned,,Amazon
ORD300040,2023-01-05,P005,Elegance,4000,2400,1,4000,2400,1600,CUST28919,36-50,Male,Punjab,Ludhiana,4,Not Returned,,Flipkart
ORD300041,2023-01-05,P004,clarity,3000,1800,1,3000,1800,1200,CUST26662,18-25,Male,Maharashtra,Thane,4,Not Returned,,Amazon
ORD300042,2023-01-05,P009,Imperial,9000,5400,1,9000,5400,3600,CUST69993,26-35,Male,Telangana,Nizamabad,4,Not Returned,,Flipkart
ORD300043,2023-01-05,P004,clarity,3000,1800,1,3000,1800,1200,CUST79355,26-35,Male,Karnataka,Belgaum,4,Returned,Poor Quality,Own Website
ORD300044,2023-01-05,P006,Zenith,5000,3000,1,5000,3000,2000,CUST37871,26-35,Female,Maharashtra,Mumbai,2,Not Returned,,Flipkart
ORD300045,2023-01-05,P003,Greenwich,2000,1200,1,2000,1200,800,CUST72043,26-35,Female,Madhya Pradesh,Jabalpur,4,Not Returned,,Own Website
ORD300046,2023-01-05,P002,Kinetic,1500,900,1,1500,900,600,CUST83272,36-50,Male,Maharashtra,Pune,3,Returned,Defective,Amazon
ORD300047,2023-01-05,P008,Tribute,7000,4200,1,7000,4200,2800,CUST25566,36-50,Female,Maharashtra,Nagpur,5,Not Returned,,Own Website
ORD300048,2023-01-05,P007,Eclipse,6000,3600,2,12000,7200,4800,CUST63558,36-50,Other,Rajasthan,Bikaner,4,Not Returned,,Flipkart
ORD300049,2023-01-05,P003,Greenwich,2000,1200,1,2000,1200,800,CUST25842,26-35,Female,Haryana,Gurgaon,4,Not Returned,,Myntra
ORD300050,2023-01-05,P001,vector,1000,600,2,2000,1200,800,CUST84942,36-50,Male,Tamil Nadu,Madurai,4,Not Returned,,Amazon
ORD300051,2023-01-05,P009,Imperial,9000,5400,1,9000,5400,3600,CUST15279,26-35,Female,Punjab,Jalandhar,4,Not Returned,,Flipkart
ORD300052,2023-01-06,P003,Greenwich,2000,1200,1,2000,1200,800,CUST30093,36-50,Male,Andhra Pradesh,Kakinada,4,Not Returned,,Flipkart
ORD300053,2023-01-06,P001,vector,1000,600,1,1000,600,400,CUST58688,18-25,Male,Karnataka,Bengaluru,4,Not Returned,,Myntra
ORD300054,2023-01-06,P006,Zenith,5000,3000,1,5000,3000,2000,CUST59081,36-50,Female,Maharashtra,Nagpur,3,Not Returned,,Amazon
ORD300055,2023-01-06,P001,vector,1000,600,3,3000,1800,1200,CUST48532,50+,Other,Kerala,Kozhikode,4,Not Returned,,Myntra
ORD300056,2023-01-06,P003,Greenwich,2000,1200,1,2000,1200,800,CUST13667,50+,Male,Karnataka,Hubli,5,Not Returned,,Flipkart
ORD300057,2023-01-06,P001,vector,1000,600,1,1000,600,400,CUST87283,26-35,Female,Maharashtra,Pune,2,Returned,Poor Quality,Flipkart
ORD300058,2023-01-06,P010,The Icon,12000,7200,1,12000,7200,4800,CUST16376,50+,Male,Uttar Pradesh,Varanasi,4,Not Returned,,Own Website
ORD300059,2023-01-06,P001,vector,1000,600,2,2000,1200,800,CUST47156,26-35,Female,Maharashtra,Nagpur,4,Not Returned,,Flipkart
ORD300060,2023-01-06,P006,Zenith,5000,3000,1,5000,3000,2000,CUST33996,50+,Male,Gujarat,Surat,4,Not Returned,,Amazon
ORD300061,2023-01-06,P010,The Icon,12000,7200,2,24000,14400,9600,CUST10273,18-25,Male,Tamil Nadu,Tiruchirappalli,4,Not Returned,,Amazon
ORD300062,2023-01-06,P005,Elegance,4000,2400,1,4000,2400,1600,CUST81766,26-35,Male,West Bengal,Kolkata,5,Not Returned,,Myntra
ORD300063,2023-01-06,P006,Zenith,5000,3000,1,5000,3000,2000,CUST18855,36-50,Male,Punjab,Jalandhar,5,Not Returned,,Flipkart
ORD300064,2023-01-06,P010,The Icon,12000,7200,2,24000,14400,9600,CUST73068,36-50,Other,Karnataka,Hubli,2,Returned,Defective,Amazon
ORD300065,2023-01-07,P005,Elegance,4000,2400,1,4000,2400,1600,CUST84155,26-35,Male,Kerala,Kozhikode,5,Not Returned,,Amazon
ORD300066,2023-01-07,P001,vector,1000,600,2,2000,1200,800,CUST54279,26-35,Female,Assam,Silchar,5,Not Returned,,Own Website
ORD300067,2023-01-07,P008,Tribute,7000,4200,1,7000,4200,2800,CUST72289,26-35,Male,Punjab,Patiala,4,Not Returned,,Flipkart
ORD300068,2023-01-07,P006,Zenith,5000,3000,1,5000,3000,2000,CUST28156,36-50,Male,Delhi,New Delhi,3,Not Returned,,Own Website
ORD300069,2023-01-07,P005,Elegance,4000,2400,1,4000,2400,1600,CUST93422,18-25,Female,Maharashtra,Thane,5,Not Returned,,Flipkart
ORD300070,2023-01-07,P007,Eclipse,6000,3600,1,6000,3600,2400,CUST97453,26-35,Male,Karnataka,Hubli,3,Returned,Other,Flipkart
ORD300071,2023-01-07,P009,Imperial,9000,5400,1,9000,5400,3600,CUST29527,26-35,Female,Karnataka,Hubli,4,Not Returned,,Own Website
ORD300072,2023-01-07,P002,Kinetic,1500,900,2,3000,1800,1200,CUST21706,50+,Male,Telangana,Karimnagar,4,Not Returned,,Amazon
ORD300073,2023-01-07,P006,Zenith,5000,3000,1,5000,3000,2000,CUST40516,18-25,Male,Maharashtra,Nashik,2,Returned,Color Mismatch,Flipkart
ORD300074,2023-01-07,P002,Kinetic,1500,900,1,1500,900,600,CUST54433,18-25,Male,West Bengal,Siliguri,5,Not Returned,,Amazon
ORD300075,2023-01-07,P002,Kinetic,1500,900,1,1500,900,600,CUST16005,26-35,Male,Maharashtra,Thane,3,Not Returned,,Amazon
ORD300076,2023-01-07,P005,Elegance,4000,2400,1,4000,2400,1600,CUST46356,18-25,Female,Gujarat,Rajkot,2,Not Returned,,Own Website
ORD300077,2023-01-07,P001,vector,1000,600,1,1000,600,400,CUST31707,26-35,Male,Uttar Pradesh,Lucknow,5,Not Returned,,Flipkart
ORD300078,2023-01-07,P006,Zenith,5000,3000,1,5000,3000,2000,CUST84972,26-35,Female,Maharashtra,Mumbai,4,Not Returned,,Own Website
ORD300079,2023-01-07,P005,Elegance,4000,2400,1,4000,2400,1600,CUST83537,26-35,Male,Delhi,Delhi,3,Not Returned,,Amazon
ORD300080,2023-01-07,P001,vector,1000,600,1,1000,600,400,CUST94399,36-50,Male,Maharashtra,Mumbai,4,Not Returned,,Flipkart
ORD300081,2023-01-07,P008,Tribute,7000,4200,1,7000,4200,2800,CUST21161,36-50,Male,Gujarat,Bhavnagar,3,Not Returned,,Amazon
ORD300082,2023-01-08,P003,Greenwich,2000,1200,1,2000,1200,800,CUST91094,50+,Male,Karnataka,Mysuru,4,Not Returned,,Amazon
ORD300083,2023-01-08,P001,vector,1000,600,1,1000,600,400,CUST85609,26-35,Male,Uttar Pradesh,Noida,4,Not Returned,,Own Website
ORD300084,2023-01-08,P001,vector,1000,600,1,1000,600,400,CUST84743,26-35,Female,Maharashtra,Mumbai,4,Not Returned,,Own Website
ORD300085,2023-01-08,P008,Tribute,7000,4200,1,7000,4200,2800,CUST72368,26-35,Male,Madhya Pradesh,Indore,3,Not Returned,,Amazon
ORD300086,2023-01-08,P007,Eclipse,6000,3600,1,6000,3600,2400,CUST12446,26-35,Male,Telangana,Khammam,4,Not Returned,,Flipkart
ORD300087,2023-01-08,P003,Greenwich,2000,1200,1,2000,1200,800,CUST96278,18-25,Male,Delhi,New Delhi,3,Not Returned,,Amazon
ORD300088,2023-01-08,P001,vector,1000,600,3,3000,1800,1200,CUST33559,36-50,Female,Uttar Pradesh,Noida,4,Not Returned,,Flipkart
ORD300089,2023-01-08,P004,clarity,3000,1800,1,3000,1800,1200,CUST46039,50+,Male,Kerala,Kochi,4,Not Returned,,Myntra
ORD300090,2023-01-08,P010,The Icon,12000,7200,1,12000,7200,4800,CUST42150,36-50,Male,Gujarat,Surat,2,Not Returned,,Myntra
ORD300091,2023-01-08,P002,Kinetic,1500,900,1,1500,900,600,CUST68226,26-35,Male,West Bengal,Asansol,3,Not Returned,,Own Website
ORD300092,2023-01-09,P004,clarity,3000,1800,2,6000,3600,2400,CUST79932,26-35,Female,Telangana,Hyderabad,4,Not Returned,,Flipkart
ORD300093,2023-01-09,P002,Kinetic,1500,900,2,3000,1800,1200,CUST62664,26-35,Male,Bihar,Bhagalpur,4,Not Returned,,Own Website
ORD300094,2023-01-09,P006,Zenith,5000,3000,1,5000,3000,2000,CUST15896,26-35,Female,Gujarat,Bhavnagar,3,Not Returned,,Myntra
ORD300095,2023-01-09,P002,Kinetic,1500,900,1,1500,900,600,CUST13049,26-35,Female,Maharashtra,Nashik,4,Not Returned,,Own Website
ORD300096,2023-01-09,P003,Greenwich,2000,1200,2,4000,2400,1600,CUST67280,26-35,Female,Maharashtra,Nagpur,3,Not Returned,,Amazon
ORD300097,2023-01-09,P002,Kinetic,1500,900,1,1500,900,600,CUST64386,26-35,Male,West Bengal,Howrah,5,Not Returned,,Amazon
ORD300098,2023-01-09,P002,Kinetic,1500,900,2,3000,1800,1200,CUST79193,50+,Male,Telangana,Hyderabad,4,Not Returned,,Flipkart
ORD300099,2023-01-09,P005,Elegance,4000,2400,1,4000,2400,1600,CUST60070,26-35,Female,Madhya Pradesh,Gwalior,1,Not Returned,,Own Website
ORD300100,2023-01-09,P007,Eclipse,6000,3600,1,6000,3600,2400,CUST21930,36-50,Female,Karnataka,Mangalore,4,Not Returned,,Own Website
ORD300101,2023-01-09,P004,clarity,3000,1800,1,3000,1800,1200,CUST23019,50+,Female,Maharashtra,Mumbai,5,Not Returned,,Flipkart
ORD300102,2023-01-09,P005,Elegance,4000,2400,1,4000,2400,1600,CUST28878,18-25,Male,Andhra Pradesh,Guntur,2,Returned,Poor Quality,Amazon
ORD300103,2023-01-09,P005,Elegance,4000,2400,2,8000,4800,3200,CUST43496,26-35,Male,Rajasthan,Jodhpur,4,Not Returned,,Flipkart
ORD300104,2023-01-09,P002,Kinetic,1500,900,1,1500,900,600,CUST30214,26-35,Male,Bihar,Patna,4,Not Returned,,Flipkart
ORD300105,2023-01-09,P001,vector,1000,600,1,1000,600,400,CUST63382,26-35,Male,Uttar Pradesh,Agra,3,Not Returned,,Own Website
ORD300106,2023-01-09,P005,Elegance,4000,2400,1,4000,2400,1600,CUST17721,36-50,Male,Uttar Pradesh,Kanpur,2,Not Returned,,Amazon
ORD300107,2023-01-09,P001,vector,1000,600,1,1000,600,400,CUST52636,26-35,Male,Andhra Pradesh,Kakinada,4,Not Returned,,Flipkart
ORD300108,2023-01-10,P004,clarity,3000,1800,1,3000,1800,1200,CUST13561,50+,Male,Haryana,Faridabad,3,Not Returned,,Amazon
ORD300109,2023-01-10,P006,Zenith,5000,3000,1,5000,3000,2000,CUST61110,36-50,Male,Rajasthan,Udaipur,1,Returned,Defective,Amazon
ORD300110,2023-01-10,P002,Kinetic,1500,900,1,1500,900,600,CUST28672,18-25,Female,Andhra Pradesh,Guntur,1,Returned,Wrong Item,Amazon
ORD300111,2023-01-10,P001,vector,1000,600,1,1000,600,400,CUST52495,26-35,Female,Kerala,Thrissur,5,Not Returned,,Amazon
ORD300112,2023-01-10,P003,Greenwich,2000,1200,2,4000,2400,1600,CUST25855,18-25,Male,Uttar Pradesh,Varanasi,1,Returned,Item Doesn't Fit,Flipkart
ORD300113,2023-01-10,P004,clarity,3000,1800,2,6000,3600,2400,CUST36549,26-35,Male,Uttar Pradesh,Lucknow,5,Not Returned,,Amazon
ORD300114,2023-01-10,P006,Zenith,5000,3000,1,5000,3000,2000,CUST88250,50+,Female,Tamil Nadu,Coimbatore,4,Not Returned,,Amazon
ORD300115,2023-01-10,P009,Imperial,9000,5400,1,9000,5400,3600,CUST40997,18-25,Male,Karnataka,Belgaum,5,Not Returned,,Flipkart
ORD300116,2023-01-10,P006,Zenith,5000,3000,1,5000,3000,2000,CUST76666,26-35,Male,Jharkhand,Jamshedpur,3,Not Returned,,Amazon
ORD300117,2023-01-10,P001,vector,1000,600,2,2000,1200,800,CUST60469,26-35,Female,Tamil Nadu,Salem,3,Not Returned,,Myntra
ORD300118,2023-01-10,P002,Kinetic,1500,900,1,1500,900,600,CUST45296,26-35,Male,Haryana,Gurgaon,3,Not Returned,,Flipkart
ORD300119,2023-01-10,P002,Kinetic,1500,900,2,3000,1800,1200,CUST51724,18-25,Male,Delhi,New Delhi,4,Not Returned,,Myntra
ORD300120,2023-01-10,P001,vector,1000,600,1,1000,600,400,CUST82498,26-35,Female,Tamil Nadu,Tiruchirappalli,4,Not Returned,,Amazon
ORD300121,2023-01-10,P005,Elegance,4000,2400,1,4000,2400,1600,CUST18579,26-35,Male,Rajasthan,Kota,4,Not Returned,,Amazon
ORD300122,2023-01-10,P005,Elegance,4000,2400,1,4000,2400,1600,CUST13788,36-50,Male,Tamil Nadu,Tiruchirappalli,4,Not Returned,,Amazon
ORD300123,2023-01-10,P007,Eclipse,6000,3600,1,6000,3600,2400,CUST93039,36-50,Female,Uttar Pradesh,Varanasi,4,Not Returned,,Flipkart
ORD300124,2023-01-10,P003,Greenwich,2000,1200,1,2000,1200,800,CUST12440,18-25,Female,Madhya Pradesh,Indore,4,Not Returned,,Flipkart
ORD300125,2023-01-11,P002,Kinetic,1500,900,1,1500,900,600,CUST82623,36-50,Female,Andhra Pradesh,Guntur,5,Not Returned,,Myntra
ORD300126,2023-01-11,P002,Kinetic,1500,900,1,1500,900,600,CUST42285,18-25,Female,Madhya Pradesh,Bhopal,4,Not Returned,,Own Website
ORD300127,2023-01-11,P002,Kinetic,1500,900,1,1500,900,600,CUST84481,26-35,Female,West Bengal,Durgapur,5,Returned,Poor Quality,Own Website
ORD300128,2023-01-11,P010,The Icon,12000,7200,1,12000,7200,4800,CUST68455,36-50,Male,Tamil Nadu,Tiruchirappalli,5,Not Returned,,Flipkart
ORD300129,2023-01-11,P002,Kinetic,1500,900,1,1500,900,600,CUST93335,36-50,Male,Tamil Nadu,Chennai,2,Not Returned,,Amazon
ORD300130,2023-01-11,P005,Elegance,4000,2400,1,4000,2400,1600,CUST28660,26-35,Male,Bihar,Gaya,4,Not Returned,,Amazon
ORD300131,2023-01-11,P009,Imperial,9000,5400,1,9000,5400,3600,CUST80836,36-50,Other,Madhya Pradesh,Gwalior,5,Not Returned,,Amazon
ORD300132,2023-01-11,P007,Eclipse,6000,3600,1,6000,3600,2400,CUST42133,50+,Female,Haryana,Faridabad,4,Not Returned,,Flipkart
ORD300133,2023-01-11,P004,clarity,3000,1800,1,3000,1800,1200,CUST65542,26-35,Male,Karnataka,Belgaum,4,Not Returned,,Amazon
ORD300134,2023-01-12,P001,vector,1000,600,1,1000,600,400,CUST69210,36-50,Male,Karnataka,Belgaum,5,Not Returned,,Own Website
ORD300135,2023-01-12,P008,Tribute,7000,4200,1,7000,4200,2800,CUST10131,26-35,Male,Madhya Pradesh,Bhopal,4,Not Returned,,Amazon
ORD300136,2023-01-12,P010,The Icon,12000,7200,1,12000,7200,4800,CUST91360,26-35,Male,Gujarat,Rajkot,5,Not Returned,,Amazon
ORD300137,2023-01-12,P002,Kinetic,1500,900,1,1500,900,600,CUST95597,50+,Female,Maharashtra,Nagpur,5,Not Returned,,Own Website
ORD300138,2023-01-12,P010,The Icon,12000,7200,1,12000,7200,4800,CUST10071,18-25,Female,West Bengal,Howrah,4,Not Returned,,Amazon
ORD300139,2023-01-12,P002,Kinetic,1500,900,1,1500,900,600,CUST73201,36-50,Male,Maharashtra,Mumbai,4,Not Returned,,Amazon
ORD300140,2023-01-12,P009,Imperial,9000,5400,2,18000,10800,7200,CUST88363,26-35,Male,West Bengal,Durgapur,5,Not Returned,,Flipkart
ORD300141,2023-01-12,P003,Greenwich,2000,1200,1,2000,1200,800,CUST99128,26-35,Female,Maharashtra,Nagpur,5,Not Returned,,Amazon
ORD300142,2023-01-12,P009,Imperial,9000,5400,1,9000,5400,3600,CUST56061,26-35,Female,Kerala,Thrissur,4,Not Returned,,Flipkart
ORD300143,2023-01-12,P002,Kinetic,1500,900,2,3000,1800,1200,CUST86697,36-50,Female,Kerala,Thiruvananthapuram,5,Not Returned,,Myntra
ORD300144,2023-01-13,P006,Zenith,5000,3000,1,5000,3000,2000,CUST46872,36-50,Female,Uttar Pradesh,Noida,4,Not Returned,,Amazon
ORD300145,2023-01-13,P008,Tribute,7000,4200,1,7000,4200,2800,CUST31157,36-50,Female,Uttar Pradesh,Lucknow,4,Not Returned,,Flipkart
ORD300146,2023-01-13,P001,vector,1000,600,1,1000,600,400,CUST83804,26-35,Female,Gujarat,Bhavnagar,4,Not Returned,,Flipkart
ORD300147,2023-01-13,P007,Eclipse,6000,3600,1,6000,3600,2400,CUST49405,26-35,Female,Punjab,Amritsar,5,Not Returned,,Own Website
ORD300148,2023-01-13,P001,vector,1000,600,2,2000,1200,800,CUST61813,36-50,Male,Tamil Nadu,Chennai,4,Not Returned,,Flipkart
ORD300149,2023-01-13,P003,Greenwich,2000,1200,1,2000,1200,800,CUST28304,50+,Female,Odisha,Bhubaneswar,2,Not Returned,,Amazon
ORD300150,2023-01-13,P007,Eclipse,6000,3600,1,6000,3600,2400,CUST37636,36-50,Female,Telangana,Nizamabad,1,Returned,Item Doesn't Fit,Flipkart
ORD300151,2023-01-13,P003,Greenwich,2000,1200,3,6000,3600,2400,CUST76167,36-50,Female,Uttar Pradesh,Noida,4,Not Returned,,Amazon
ORD300152,2023-01-13,P001,vector,1000,600,1,1000,600,400,CUST99404,18-25,Male,Punjab,Jalandhar,4,Not Returned,,Own Website
ORD300153,2023-01-13,P004,clarity,3000,1800,1,3000,1800,1200,CUST93252,26-35,Female,Jharkhand,Jamshedpur,4,Not Returned,,Amazon
ORD300154,2023-01-13,P002,Kinetic,1500,900,1,1500,900,600,CUST69338,26-35,Female,Haryana,Panipat,4,Not Returned,,Amazon
ORD300155,2023-01-13,P009,Imperial,9000,5400,1,9000,5400,3600,CUST42234,26-35,Male,Andhra Pradesh,Guntur,5,Not Returned,,Amazon
ORD300156,2023-01-13,P009,Imperial,9000,5400,1,9000,5400,3600,CUST54778,18-25,Female,Maharashtra,Nagpur,5,Not Returned,,Flipkart
ORD300157,2023-01-13,P002,Kinetic,1500,900,1,1500,900,600,CUST88579,36-50,Male,Tamil Nadu,Tiruchirappalli,2,Returned,Did Not Like,Flipkart
ORD300158,2023-01-13,P001,vector,1000,600,1,1000,600,400,CUST12080,26-35,Female,Gujarat,Vadodara,4,Not Returned,,Own Website
ORD300159,2023-01-13,P007,Eclipse,6000,3600,1,6000,3600,2400,CUST94730,50+,Male,Uttar Pradesh,Kanpur,4,Not Returned,,Flipkart
ORD300160,2023-01-13,P006,Zenith,5000,3000,1,5000,3000,2000,CUST72459,26-35,Male,Tamil Nadu,Salem,4,Returned,Defective,Amazon
ORD300161,2023-01-14,P001,vector,1000,600,1,1000,600,400,CUST11255,36-50,Female,Delhi,New Delhi,4,Not Returned,,Amazon
ORD300162,2023-01-14,P002,Kinetic,1500,900,1,1500,900,600,CUST64154,50+,Male,Maharashtra,Pune,4,Not Returned,,Flipkart
ORD300163,2023-01-14,P007,Eclipse,6000,3600,2,12000,7200,4800,CUST74091,36-50,Male,Tamil Nadu,Salem,5,Not Returned,,Own Website
ORD300164,2023-01-14,P005,Elegance,4000,2400,2,8000,4800,3200,CUST80533,36-50,Male,Delhi,Delhi,4,Not Returned,,Amazon
ORD300165,2023-01-14,P002,Kinetic,1500,900,1,1500,900,600,CUST95078,26-35,Male,Odisha,Bhubaneswar,5,Not Returned,,Myntra
ORD300166,2023-01-14,P006,Zenith,5000,3000,1,5000,3000,2000,CUST80601,50+,Other,Uttar Pradesh,Lucknow,4,Not Returned,,Flipkart
ORD300167,2023-01-14,P002,Kinetic,1500,900,1,1500,900,600,CUST98112,26-35,Female,Uttar Pradesh,Varanasi,2,Returned,Defective,Myntra
ORD300168,2023-01-15,P007,Eclipse,6000,3600,1,6000,3600,2400,CUST56267,18-25,Female,Jharkhand,Ranchi,4,Not Returned,,Flipkart
ORD300169,2023-01-15,P004,clarity,3000,1800,1,3000,1800,1200,CUST88815,26-35,Male,Bihar,Muzaffarpur,4,Not Returned,,Flipkart
ORD300170,2023-01-15,P009,Imperial,9000,5400,1,9000,5400,3600,CUST60692,18-25,Female,Rajasthan,Udaipur,4,Not Returned,,Own Website
ORD300171,2023-01-15,P002,Kinetic,1500,900,1,1500,900,600,CUST11105,26-35,Male,Haryana,Faridabad,5,Not Returned,,Own Website
ORD300172,2023-01-15,P004,clarity,3000,1800,1,3000,1800,1200,CUST70646,26-35,Female,Uttar Pradesh,Lucknow,4,Not Returned,,Amazon
ORD300173,2023-01-15,P006,Zenith,5000,3000,1,5000,3000,2000,CUST35295,26-35,Male,Odisha,Rourkela,5,Not Returned,,Amazon
ORD300174,2023-01-15,P002,Kinetic,1500,900,1,1500,900,600,CUST11227,26-35,Male,Karnataka,Hubli,4,Not Returned,,Myntra
ORD300175,2023-01-15,P002,Kinetic,1500,900,1,1500,900,600,CUST12592,26-35,Female,West Bengal,Howrah,2,Not Returned,,Myntra
ORD300176,2023-01-15,P005,Elegance,4000,2400,2,8000,4800,3200,CUST99201,18-25,Male,Tamil Nadu,Madurai,4,Not Returned,,Own Website
